len(selected_patterns):47; curr precision: 0.9923; curr recall: 0.1292; curr f1: 0.2286; curr tp: 14100; curr fp: 110; curr fn: 95051; curr tn: 1563068; precision of pattern: 1.0; tp, abs. recall of pattern: 317; pattern: ('DEP_advmod', '_OTOKEN_fine', 'WORD'); pattern type: l1
len(selected_patterns):48; curr precision: 0.9917; curr recall: 0.132; curr f1: 0.233; curr tp: 14412; curr fp: 120; curr fn: 94739; curr tn: 1563058; precision of pattern: 1.0; tp, abs. recall of pattern: 312; pattern: ('DEP_advmod', '_OTOKEN_disappointed', 'WORD'); pattern type: l1
len(selected_patterns):49; curr precision: 0.9916; curr recall: 0.1325; curr f1: 0.2337; curr tp: 14460; curr fp: 123; curr fn: 94691; curr tn: 1563055; precision of pattern: 1.0; tp, abs. recall of pattern: 306; pattern: ('DEP_conj', 'WORD', '_OTOKEN_good'); pattern type: l1
len(selected_patterns):50; curr precision: 0.9916; curr recall: 0.1325; curr f1: 0.2337; curr tp: 14461; curr fp: 123; curr fn: 94690; curr tn: 1563055; precision of pattern: 1.0; tp, abs. recall of pattern: 303; pattern: ('PROX_near1', 'TOKEN_is', '_OTOKEN_good'); pattern type: l1
len(selected_patterns):51; curr precision: 0.9905; curr recall: 0.1346; curr f1: 0.237; curr tp: 14692; curr fp: 141; curr fn: 94459; curr tn: 1563037; precision of pattern: 1.0; tp, abs. recall of pattern: 301; pattern: ('PROX_near1', 'TOKEN_very', '_OTOKEN_well'); pattern type: l1
len(selected_patterns):52; curr precision: 0.9905; curr recall: 0.1373; curr f1: 0.2412; curr tp: 14991; curr fp: 144; curr fn: 94160; curr tn: 1563034; precision of pattern: 1.0; tp, abs. recall of pattern: 299; pattern: ('DEP_root', 'WORD', '_OTOKEN_better'); pattern type: l1
len(selected_patterns):53; curr precision: 0.9904; curr recall: 0.1394; curr f1: 0.2444; curr tp: 15217; curr fp: 148; curr fn: 93934; curr tn: 1563030; precision of pattern: 1.0; tp, abs. recall of pattern: 298; pattern: ('DEP_advmod', '_OTOKEN_fast', 'TOKEN_very'); pattern type: l1
len(selected_patterns):54; curr precision: 0.9904; curr recall: 0.1394; curr f1: 0.2445; curr tp: 15220; curr fp: 148; curr fn: 93931; curr tn: 1563030; precision of pattern: 1.0; tp, abs. recall of pattern: 293; pattern: ('DEP_punct', '_OTOKEN_slow', 'TOKEN_.'); pattern type: l1
len(selected_patterns):55; curr precision: 0.9904; curr recall: 0.1395; curr f1: 0.2445; curr tp: 15226; curr fp: 148; curr fn: 93925; curr tn: 1563030; precision of pattern: 1.0; tp, abs. recall of pattern: 292; pattern: ('DEP_cc', '_OTOKEN_great', 'WORD'); pattern type: l1
len(selected_patterns):56; curr precision: 0.9902; curr recall: 0.1417; curr f1: 0.2479; curr tp: 15466; curr fp: 153; curr fn: 93685; curr tn: 1563025; precision of pattern: 1.0; tp, abs. recall of pattern: 290; pattern: ('DEP_xcomp', 'WORD', '_OTOKEN_good'); pattern type: l1
