len(selected_patterns):40; curr precision: 0.9572; curr recall: 0.0248; curr f1: 0.0484; curr tp: 3826; curr fp: 171; curr fn: 150339; curr tn: 1353188; precision of pattern: 1.0; tp, abs. recall of pattern: 57; pattern: _ATOKEN_pastries; pattern type: l0
len(selected_patterns):41; curr precision: 0.9566; curr recall: 0.0252; curr f1: 0.0491; curr tp: 3883; curr fp: 176; curr fn: 150282; curr tn: 1353183; precision of pattern: 1.0; tp, abs. recall of pattern: 57; pattern: _ATOKEN_mozzarella; pattern type: l0
len(selected_patterns):42; curr precision: 0.9568; curr recall: 0.0256; curr f1: 0.0498; curr tp: 3939; curr fp: 178; curr fn: 150226; curr tn: 1353181; precision of pattern: 1.0; tp, abs. recall of pattern: 56; pattern: _ATOKEN_asparagus; pattern type: l0
len(selected_patterns):43; curr precision: 0.9564; curr recall: 0.0259; curr f1: 0.0505; curr tp: 3995; curr fp: 182; curr fn: 150170; curr tn: 1353177; precision of pattern: 1.0; tp, abs. recall of pattern: 56; pattern: _ATOKEN_stew; pattern type: l0
len(selected_patterns):44; curr precision: 0.9565; curr recall: 0.0263; curr f1: 0.0511; curr tp: 4050; curr fp: 184; curr fn: 150115; curr tn: 1353175; precision of pattern: 1.0; tp, abs. recall of pattern: 55; pattern: _ATOKEN_pies; pattern type: l0
len(selected_patterns):45; curr precision: 0.9553; curr recall: 0.0266; curr f1: 0.0518; curr tp: 4101; curr fp: 192; curr fn: 150064; curr tn: 1353167; precision of pattern: 1.0; tp, abs. recall of pattern: 51; pattern: _ATOKEN_breast; pattern type: l0
len(selected_patterns):46; curr precision: 0.954; curr recall: 0.0269; curr f1: 0.0524; curr tp: 4152; curr fp: 200; curr fn: 150013; curr tn: 1353159; precision of pattern: 1.0; tp, abs. recall of pattern: 51; pattern: _ATOKEN_crepes; pattern type: l0
len(selected_patterns):47; curr precision: 0.9546; curr recall: 0.0273; curr f1: 0.053; curr tp: 4203; curr fp: 200; curr fn: 149962; curr tn: 1353159; precision of pattern: 1.0; tp, abs. recall of pattern: 51; pattern: _ATOKEN_tikka; pattern type: l0
len(selected_patterns):48; curr precision: 0.9549; curr recall: 0.0276; curr f1: 0.0536; curr tp: 4253; curr fp: 201; curr fn: 149912; curr tn: 1353158; precision of pattern: 1.0; tp, abs. recall of pattern: 50; pattern: _ATOKEN_guac; pattern type: l0
len(selected_patterns):49; curr precision: 0.9552; curr recall: 0.0279; curr f1: 0.0542; curr tp: 4303; curr fp: 202; curr fn: 149862; curr tn: 1353157; precision of pattern: 1.0; tp, abs. recall of pattern: 50; pattern: _ATOKEN_pastor; pattern type: l0
len(selected_patterns):50; curr precision: 0.955; curr recall: 0.0282; curr f1: 0.0548; curr tp: 4352; curr fp: 205; curr fn: 149813; curr tn: 1353154; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _ATOKEN_coleslaw; pattern type: l0
len(selected_patterns):51; curr precision: 0.954; curr recall: 0.0285; curr f1: 0.0554; curr tp: 4401; curr fp: 212; curr fn: 149764; curr tn: 1353147; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _ATOKEN_carrots; pattern type: l0
len(selected_patterns):52; curr precision: 0.9533; curr recall: 0.0289; curr f1: 0.056; curr tp: 4449; curr fp: 218; curr fn: 149716; curr tn: 1353141; precision of pattern: 1.0; tp, abs. recall of pattern: 48; pattern: _ATOKEN_chile; pattern type: l0
len(selected_patterns):53; curr precision: 0.9536; curr recall: 0.0292; curr f1: 0.0566; curr tp: 4496; curr fp: 219; curr fn: 149669; curr tn: 1353140; precision of pattern: 1.0; tp, abs. recall of pattern: 47; pattern: _ATOKEN_parm; pattern type: l0
len(selected_patterns):54; curr precision: 0.9534; curr recall: 0.0295; curr f1: 0.0572; curr tp: 4543; curr fp: 222; curr fn: 149622; curr tn: 1353137; precision of pattern: 1.0; tp, abs. recall of pattern: 47; pattern: _ATOKEN_meatballs; pattern type: l0
len(selected_patterns):55; curr precision: 0.9535; curr recall: 0.0298; curr f1: 0.0577; curr tp: 4590; curr fp: 224; curr fn: 149575; curr tn: 1353135; precision of pattern: 1.0; tp, abs. recall of pattern: 47; pattern: _ATOKEN_tiramisu; pattern type: l0
len(selected_patterns):56; curr precision: 0.9539; curr recall: 0.0301; curr f1: 0.0583; curr tp: 4636; curr fp: 224; curr fn: 149529; curr tn: 1353135; precision of pattern: 1.0; tp, abs. recall of pattern: 46; pattern: _ATOKEN_paneer; pattern type: l0
len(selected_patterns):57; curr precision: 0.953; curr recall: 0.0304; curr f1: 0.0589; curr tp: 4682; curr fp: 231; curr fn: 149483; curr tn: 1353128; precision of pattern: 1.0; tp, abs. recall of pattern: 46; pattern: _ATOKEN_biscuit; pattern type: l0
len(selected_patterns):58; curr precision: 0.9532; curr recall: 0.0307; curr f1: 0.0594; curr tp: 4728; curr fp: 232; curr fn: 149437; curr tn: 1353127; precision of pattern: 1.0; tp, abs. recall of pattern: 46; pattern: _ATOKEN_omelette; pattern type: l0
len(selected_patterns):59; curr precision: 0.9536; curr recall: 0.031; curr f1: 0.06; curr tp: 4772; curr fp: 232; curr fn: 149393; curr tn: 1353127; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _ATOKEN_halibut; pattern type: l0
len(selected_patterns):60; curr precision: 0.954; curr recall: 0.0312; curr f1: 0.0605; curr tp: 4816; curr fp: 232; curr fn: 149349; curr tn: 1353127; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _ATOKEN_ribeye; pattern type: l0
len(selected_patterns):61; curr precision: 0.9518; curr recall: 0.0315; curr f1: 0.061; curr tp: 4860; curr fp: 246; curr fn: 149305; curr tn: 1353113; precision of pattern: 1.0; tp, abs. recall of pattern: 44; pattern: _ATOKEN_chip; pattern type: l0
