len(selected_patterns):38; curr precision: 0.969; curr recall: 0.0297; curr f1: 0.0577; curr tp: 4626; curr fp: 148; curr fn: 151008; curr tn: 1516547; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _ATOKEN_fusion; pattern type: l0
len(selected_patterns):39; curr precision: 0.9689; curr recall: 0.03; curr f1: 0.0583; curr tp: 4674; curr fp: 150; curr fn: 150960; curr tn: 1516545; precision of pattern: 1.0; tp, abs. recall of pattern: 48; pattern: _ATOKEN_isight; pattern type: l0
len(selected_patterns):40; curr precision: 0.9692; curr recall: 0.0303; curr f1: 0.0588; curr tp: 4722; curr fp: 150; curr fn: 150912; curr tn: 1516545; precision of pattern: 1.0; tp, abs. recall of pattern: 48; pattern: _ATOKEN_harddrive; pattern type: l0
len(selected_patterns):41; curr precision: 0.9695; curr recall: 0.0306; curr f1: 0.0594; curr tp: 4769; curr fp: 150; curr fn: 150865; curr tn: 1516545; precision of pattern: 1.0; tp, abs. recall of pattern: 47; pattern: _ATOKEN_bootcamp; pattern type: l0
len(selected_patterns):42; curr precision: 0.9696; curr recall: 0.0309; curr f1: 0.06; curr tp: 4815; curr fp: 151; curr fn: 150819; curr tn: 1516544; precision of pattern: 1.0; tp, abs. recall of pattern: 46; pattern: _ATOKEN_reception; pattern type: l0
len(selected_patterns):43; curr precision: 0.9693; curr recall: 0.0312; curr f1: 0.0605; curr tp: 4860; curr fp: 154; curr fn: 150774; curr tn: 1516541; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _ATOKEN_reliability; pattern type: l0
len(selected_patterns):44; curr precision: 0.969; curr recall: 0.0315; curr f1: 0.061; curr tp: 4905; curr fp: 157; curr fn: 150729; curr tn: 1516538; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _ATOKEN_blu-ray; pattern type: l0
len(selected_patterns):45; curr precision: 0.9691; curr recall: 0.0318; curr f1: 0.0616; curr tp: 4950; curr fp: 158; curr fn: 150684; curr tn: 1516537; precision of pattern: 1.0; tp, abs. recall of pattern: 45; pattern: _ATOKEN_fonts; pattern type: l0
len(selected_patterns):46; curr precision: 0.9688; curr recall: 0.0321; curr f1: 0.0621; curr tp: 4992; curr fp: 161; curr fn: 150642; curr tn: 1516534; precision of pattern: 1.0; tp, abs. recall of pattern: 42; pattern: _ATOKEN_mobility; pattern type: l0
len(selected_patterns):47; curr precision: 0.9684; curr recall: 0.0323; curr f1: 0.0626; curr tp: 5034; curr fp: 164; curr fn: 150600; curr tn: 1516531; precision of pattern: 1.0; tp, abs. recall of pattern: 42; pattern: _ATOKEN_scaling; pattern type: l0
